TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
323,1424.2,1366.1,4098.4,526,581.9,374.8,443.2,1411.9,760.6,407.7385149,246.5044692,689.0267051,1343.197822,3,2,228.880661,757.223205,254,0.63,4,1,3,3,3,0.13,0,0.87,254,0
324,1314.5,1648.9,3782.9,485.5,537.1,345.9,409.1,1303.2,702.1,106.6215817,64.45968539,180.1770361,351.2395102,3,2,228.483322,757.781494,410,0.45,4,1,3,3,3,0.02,0,0.98,410,0
325,1021.3,1013.4,2939,377.2,417.3,268.8,317.8,1012.5,545.5,93.74515261,56.67504599,158.4174937,308.821169,3,2,228.253189,758.241149,162,0.23,5,1,3,3,3,0,0,1,162,0
326,951.7,850,2738.8,351.5,388.8,250.4,296.2,943.5,508.3,180.9957093,109.4236861,305.8599389,596.2474323,3,2,227.548828,758.091918,1436,1.66,7,1,3,3,3,0,0,1,1436,0
327,1513.9,1287.2,4356.5,559.1,618.5,398.4,471.1,1500.8,808.5,929.1115871,561.7084241,1570.081491,3060.737739,3,2,228.343475,756.521118,327,0.77,5,1,3,3,3,0.11,0,0.89,327,0
328,1646.2,1705.4,4737.2,608,672.6,433.2,512.3,1632,879.2,415.5777551,251.2438001,702.2740331,1369.022339,3,2,227.124221,757.587768,5815,1.01,6,1,3,3,3,0,0,1,2262,3553
329,744.5,652.1,2142.6,275,304.2,195.9,231.7,738.1,397.7,42.81819404,25.88638505,72.35735179,141.0543838,3,2,227.311798,756.985412,726,0.25,5,1,3,3,3,0,0,1,726,0
330,1632.3,1342.1,4697.3,602.9,666.9,429.5,508,1618.2,871.8,95.91138815,57.98467636,162.0781588,315.9573181,3,2,227.617904,755.924194,161,1.82,9,1,3,3,3,0,0,1,161,0
331,1906.2,2109.9,5485.6,704,778.8,501.6,593.2,1889.8,1018.1,244.1049812,147.5773483,412.5066551,804.1459591,3,2,226.610031,756.254638,843,0.92,6,1,3,3,3,0.03,0,0.97,843,0
332,2072.5,1947.4,5964,765.4,846.8,545.4,644.9,2054.6,1106.9,214.400931,129.6193167,362.3105536,706.2930115,3,2,226.403503,756.618347,1168,0.92,7,1,3,3,3,0,0,1,1168,0
333,580.3,458.7,1656,212.5,235.1,151.4,179.1,570.5,307.3,0,0,0,0,3,2,225.49617,757.391906,0,1.48,6,1,3,3,3,0,0,1,0,0
334,2164.8,1834.8,6672,1026.1,1170.6,802.1,1139.4,2082,451.8,480.3035529,249.7127237,459.733241,1189.652028,3,2,222.625,758.362487,0,3.43,3,1,3,3,2,0,1,0,0,0
335,1466.7,1339.3,4520.6,695.2,793.1,543.5,772,1410.6,306.1,351.1336312,182.5564998,336.0953741,869.7142337,3,2,224.425186,758.267761,1901,4.71,3,1,3,3,2,0,1,0,1901,0
